year,scheduled,mini.pia,tax.ssb,cap.spouse,survivorjs75,tax.max.90,tax.max.90.FICA.134,fica.134,cola.chain.cpi,reduce.cola,increase.fra,increase.fra.era,taxmax150000,taxmax180000,no.tax.max
2051,0.56269361,0.464166161,0.546660279,0.586242942,0.617562544,0.777977224,0.966825786,0.740019679,0.650976069,0.638476346,0.597144481,0.601707171,0.626262399,0.662661165,0.917309662
2052,0.543628917,0.441095397,0.527097463,0.567912987,0.599596561,0.759157069,0.95220735,0.725344227,0.634280411,0.621389066,0.580597674,0.584931648,0.60871258,0.645691978,0.897986205
2053,0.531420744,0.424320715,0.514435091,0.556531388,0.588653026,0.75801257,0.956819261,0.718316365,0.624816577,0.6114852,0.57035417,0.574864048,0.599201122,0.636981065,0.899849348
2054,0.514191309,0.402973998,0.496593024,0.540146825,0.572421256,0.741974423,0.945154801,0.705599171,0.610004092,0.596275572,0.555985751,0.560750755,0.582807812,0.620636029,0.886854653
2055,0.495726695,0.380633226,0.477618667,0.522338286,0.554877359,0.728315102,0.935863233,0.691330907,0.593681564,0.579599449,0.539892553,0.544848713,0.56676924,0.605365786,0.875809506
2056,0.481493793,0.362029952,0.462917394,0.50892549,0.541495338,0.714436314,0.926657622,0.682030462,0.582108613,0.567598068,0.528744094,0.533426337,0.554412472,0.593559789,0.861334926
2057,0.469056445,0.345346139,0.44981332,0.497206688,0.529991671,0.70921889,0.92620124,0.67408806,0.571988085,0.557097094,0.519127847,0.524471981,0.544211878,0.583795451,0.858880579
2058,0.450063372,0.322336385,0.430448461,0.478881032,0.511809127,0.692136301,0.913429313,0.659538974,0.555330121,0.540067528,0.502583097,0.507744623,0.526993373,0.567040402,0.843184756
2059,0.427920707,0.296667433,0.407702721,0.457400891,0.49054576,0.670485249,0.895662258,0.641394048,0.535311281,0.519722519,0.482696937,0.487844316,0.506662938,0.547155796,0.822791595
2060,0.41505854,0.279387941,0.394366561,0.445342756,0.478333577,0.669586802,0.900626131,0.633726938,0.525239116,0.509202739,0.473040549,0.478347467,0.49664763,0.538022248,0.825572823
2061,0.389443019,0.250691119,0.368276468,0.420297698,0.453616713,0.642880543,0.877228389,0.611739995,0.501531521,0.485168789,0.449017593,0.454454681,0.472126252,0.51381286,0.800065435
2062,0.373362529,0.230354394,0.351728876,0.405006598,0.438519447,0.637561502,0.877381082,0.600511554,0.488067051,0.471291611,0.436221889,0.44144008,0.458874448,0.501202272,0.797373085
2063,0.351219488,0.204486695,0.329061732,0.383541139,0.41717967,0.612987772,0.856697997,0.582724871,0.468266245,0.451119214,0.416430083,0.421843186,0.438729379,0.481512568,0.774873864
2064,0.334970298,0.18378448,0.312239041,0.368054735,0.40202793,0.602705265,0.851795954,0.571615469,0.454741672,0.437172178,0.40361356,0.409458054,0.42482417,0.468356624,0.766031088
2065,0.320202707,0.164162972,0.296955336,0.354244949,0.388626965,0.589418118,0.844119757,0.562597119,0.443061988,0.424994325,0.391977476,0.397584058,0.412713941,0.457075178,0.753638068
2066,0.30453588,0.144062092,0.280757537,0.339367085,0.374243315,0.587895019,0.848488877,0.551958592,0.430126115,0.411631919,0.379621023,0.385387492,0.40054844,0.445791922,0.759170427
2067,0.274736611,0.111103425,0.250394726,0.310122198,0.345247895,0.553244948,0.817185191,0.526026479,0.402421865,0.383593863,0.351841099,0.357499063,0.371725486,0.417062341,0.722136603
2068,0.260126446,0.091795401,0.235448094,0.296395107,0.331760941,0.548903449,0.818858333,0.516794301,0.390729804,0.3714349,0.340772666,0.346775605,0.359921109,0.406124023,0.722850632
2069,0.236915481,0.064278188,0.211582577,0.273974959,0.309800528,0.532796103,0.808245084,0.498797741,0.37028901,0.350560547,0.320500977,0.326993461,0.339402053,0.386484949,0.711554316
